発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
1,14,7,58,1,1,7,7,3,8,1,0
12,25,13,10,1,1,14,7,5,9,1,1
1,7,10,8,5,3,7,7,5,9,1,1
1,18,15,5,2,2,14,7,6,8,1,1
1,14,17,23,5,2,1,2,15,9,30,0
1,15,15,52,1,1,14,7,4,9,1,1
1,13,13,54,5,2,1,7,15,9,30,0
1,14,17,40,1,1,14,7,4,9,1,1
1,13,17,45,1,1,1,7,12,9,30,0
11,30,8,32,1,1,1,7,15,9,30,1
1,7,7,58,1,3,13,7,3,4,1,0
1,26,8,32,1,2,14,7,3,9,1,0
1,3,18,10,1,1,1,7,15,9,30,1
12,26,15,45,1,1,14,7,3,9,1,0
1,8,18,45,1,1,7,7,3,9,1,0
1,1,9,9,1,1,1,7,12,9,30,1
1,25,13,45,2,1,7,1,4,9,1,1
1,18,16,30,1,1,14,7,2,9,1,0
1,20,18,25,1,1,14,7,3,9,1,0
1,29,10,25,1,1,14,7,3,9,1,0
12,27,9,5,1,1,1,7,13,9,30,0
12,12,13,15,1,1,7,1,5,9,1,1
1,30,14,20,2,1,14,7,3,8,1,0
12,28,17,4,5,3,7,1,3,9,1,1
1,8,14,45,1,1,1,1,12,9,30,0
1,21,11,59,1,1,14,7,2,9,20,0
1,7,8,0,1,3,13,7,2,5,1,1
1,5,14,48,1,1,1,8,18,9,30,0
1,28,12,5,1,1,14,7,2,9,1,0
1,22,21,55,1,1,1,1,15,9,30,0
1,4,5,52,1,1,14,7,3,9,1,1
12,16,17,12,2,1,1,7,15,9,30,1
1,19,8,50,5,4,1,7,12,9,30,0
1,6,15,45,5,2,14,7,3,9,20,1
1,13,17,35,2,1,14,7,3,9,1,0
1,4,13,0,1,1,14,7,5,9,1,1
1,25,15,10,2,1,13,7,4,3,1,1
12,25,18,33,1,1,7,7,4,9,1,1
12,19,17,55,1,1,14,7,4,9,1,1
1,11,8,35,2,3,0,7,0,0,20,1
1,2,21,25,5,2,7,3,4,9,1,1
1,20,17,55,1,1,14,7,3,9,1,0
1,12,7,20,1,2,14,7,3,9,1,0
12,27,16,10,2,4,1,7,17,9,30,1
1,13,8,30,1,1,14,7,4,9,1,0
1,15,11,52,1,1,7,7,3,9,1,0
1,9,15,0,2,4,1,1,12,9,30,1
1,9,12,41,1,1,14,7,4,9,1,1
1,26,17,45,1,1,13,7,3,1,1,0
1,23,11,55,2,2,7,1,3,9,1,1
1,7,10,40,1,1,1,7,15,9,30,0
11,22,18,25,3,2,14,7,3,9,1,1
1,14,18,50,1,1,1,1,16,9,30,0
1,28,11,20,2,1,14,7,3,9,1,0
1,15,17,25,1,1,1,7,11,8,30,0
1,25,14,35,2,1,1,7,15,7,30,1
1,4,11,56,1,1,1,7,12,9,30,1
1,31,10,52,1,1,14,7,5,9,1,1
1,24,20,32,1,1,14,7,3,9,1,0
1,6,0,57,1,1,13,7,5,6,1,1
1,20,14,23,1,1,14,7,4,8,1,1
12,22,16,20,1,1,1,1,15,9,30,1
1,12,5,43,1,1,1,1,15,9,30,0
1,1,15,12,1,1,7,7,4,8,1,1
1,18,12,15,1,1,7,7,3,9,1,1
1,4,11,39,1,1,1,7,11,9,30,0
1,7,9,50,1,1,1,7,14,9,30,0
1,20,18,12,1,1,0,7,0,0,20,0
1,22,9,58,2,2,0,7,0,0,20,1
1,4,16,25,5,3,13,7,3,5,1,1
1,10,11,35,2,2,13,7,4,5,1,0
1,30,7,35,1,1,14,7,4,9,1,1
1,2,11,0,1,4,14,7,4,9,1,1
1,4,7,56,1,1,1,7,14,9,30,1
1,7,15,40,1,1,1,7,12,9,30,0
1,24,8,35,1,1,14,7,5,9,1,0
1,22,18,5,1,1,37,1,1,9,1,0
1,13,15,15,1,1,1,7,14,3,30,0
1,17,19,40,5,4,1,7,15,9,30,0
1,10,11,10,2,1,1,1,15,9,30,1
1,17,7,35,1,1,1,7,12,9,30,0
1,8,18,30,1,1,1,7,11,9,30,1
1,28,11,32,2,1,14,7,2,9,1,0
1,6,18,5,5,4,13,7,3,5,1,0
1,12,21,35,1,1,1,1,15,9,30,0
12,18,10,55,5,4,13,7,3,3,1,1
1,15,7,20,1,1,14,7,1,9,1,1
12,28,8,53,1,4,7,2,5,9,1,1
1,24,10,0,1,1,7,1,2,9,1,1
12,23,14,5,1,1,13,7,3,6,20,1
1,19,8,35,1,1,14,7,3,9,1,0
1,6,16,50,5,4,7,1,3,9,1,1
1,18,9,50,1,1,14,7,3,9,1,0
1,11,18,15,3,2,1,1,15,7,30,0
12,31,14,20,1,1,1,7,14,9,30,1
1,16,17,55,1,1,14,7,5,9,1,1
1,22,14,0,1,1,0,7,0,0,20,1
1,31,11,5,1,1,1,7,12,9,30,0
1,6,8,30,2,1,14,7,4,9,1,0
1,18,8,14,1,1,1,1,16,9,30,0
12,13,15,25,1,1,14,7,5,9,1,1
12,29,0,0,2,4,14,1,4,9,1,0
1,15,17,20,1,1,1,7,16,9,30,0
1,5,6,35,1,1,14,7,2,9,1,0
1,11,11,50,2,1,14,7,2,9,1,1
1,11,19,16,2,2,1,1,15,9,30,0
1,27,9,40,1,1,14,7,3,9,1,0
1,17,9,10,1,1,14,7,2,8,1,0
12,1,6,24,3,2,1,1,19,9,30,0
12,29,20,47,1,1,14,7,4,9,1,1
1,1,14,30,1,1,7,1,3,9,1,1
1,21,10,50,1,1,14,7,4,8,1,1
1,5,13,50,1,4,14,7,3,9,1,1
1,31,15,15,1,1,14,7,4,9,1,0
1,26,18,50,1,1,1,7,12,9,30,0
12,3,17,20,2,1,1,7,15,9,30,0
11,24,8,15,1,1,1,1,15,9,30,1
1,23,17,14,1,1,14,7,2,9,1,0
1,7,16,20,1,1,1,7,15,9,30,0
12,17,12,18,1,1,14,1,4,9,1,1
1,4,23,10,1,1,14,7,3,9,1,0
1,4,4,21,1,1,0,7,0,0,20,0
1,15,15,45,1,1,14,7,3,9,1,1
1,11,8,5,3,2,14,7,2,9,1,0
1,12,6,25,1,1,1,1,12,9,30,0
1,22,12,44,2,1,7,1,3,9,1,1
1,29,14,20,1,1,14,7,2,9,20,0
1,12,17,55,1,1,13,7,5,3,1,0
12,15,10,10,1,1,14,7,5,9,1,1
1,13,10,2,1,1,14,1,4,9,1,1
12,11,14,20,3,1,11,7,3,9,1,1
1,23,2,30,1,1,1,8,15,9,30,0
1,17,9,5,2,1,1,7,15,9,30,0
1,6,16,55,5,3,14,7,5,9,1,1
12,30,18,30,1,1,1,1,15,9,30,0
1,28,18,50,1,1,1,7,13,6,30,0
12,21,11,45,1,2,1,7,15,9,30,1
12,24,13,3,1,1,14,7,4,9,1,1
1,16,16,25,1,1,1,1,12,9,30,0
1,15,10,50,2,1,1,7,11,7,30,0
12,14,18,10,1,1,14,7,4,9,1,0
1,2,13,1,1,1,1,1,14,9,30,1
1,1,15,30,1,1,1,7,15,9,30,1
12,28,15,0,2,4,7,7,3,9,1,1
1,9,14,59,5,3,12,7,3,8,1,1
1,28,17,45,1,1,14,7,1,9,1,0
1,29,17,40,1,1,14,7,5,9,1,0
1,3,16,29,2,1,1,7,15,9,30,1
1,10,8,24,2,1,1,1,15,8,30,1
11,29,21,0,1,1,0,7,0,0,20,0
1,2,15,35,2,1,1,7,13,9,30,0
1,29,11,35,1,1,14,7,2,8,1,1
